,Embalse,Tipo,Año,Estación,Concentración
573,Llerena,C2RCC,2022,v,17.469526290893555
574,Llerena,C2X,2022,v,22.041606903076172
575,Llerena,C2XC,2022,v,38.29244613647461
576,Los Huertos,C2RCC,2020,o,3.906155586242676
577,Los Huertos,C2X,2020,o,12.760234832763672
578,Los Huertos,C2XC,2020,o,66.88452911376953
579,Los Huertos,C2RCC,2021,v,3.1912145614624023
580,Los Huertos,C2X,2021,v,13.294320106506348
581,Los Huertos,C2XC,2021,v,76.21170043945312
582,Madronnera,C2RCC,2021,o,2.6723504066467285
583,Madronnera,C2X,2021,o,3.335240364074707
584,Madronnera,C2XC,2021,o,9.455415725708008
585,Madronnera,C2RCC,2021,v,0.15631845593452454
586,Madronnera,C2X,2021,v,1.8243862390518188
587,Madronnera,C2XC,2021,v,3.2309839725494385
588,Majadillas,C2RCC,2020,o,0.35072124004364014
589,Majadillas,C2X,2020,o,3.209343671798706
590,Majadillas,C2XC,2020,o,28.438913345336914
591,Majadillas,C2RCC,2021,o,0.03741525113582611
592,Majadillas,C2X,2021,o,1.799898624420166
593,Majadillas,C2XC,2021,o,13.970349311828613
594,Majadillas,C2RCC,2022,o,0.9431866407394409
595,Majadillas,C2X,2022,o,8.927698135375977
596,Majadillas,C2XC,2022,o,120.18326568603516
597,Majarrobledo,C2RCC,2021,o,0.3400849401950836
598,Majarrobledo,C2X,2021,o,1.0643197298049927
599,Majarrobledo,C2XC,2021,o,4.217966079711914
600,Membrio,C2RCC,2021,o,0.0
601,Membrio,C2X,2021,o,0.0
602,Membrio,C2XC,2021,o,0.0
603,Membrio,C2RCC,2022,o,0.0
604,Membrio,C2X,2022,o,0.0
605,Membrio,C2XC,2022,o,0.0
606,Navarredonda,C2RCC,2021,o,3.4089183807373047
607,Navarredonda,C2X,2021,o,83.33604431152344
608,Navarredonda,C2XC,2021,o,1283.21875
609,Navarredonda,C2RCC,2021,v,0.7114993929862976
